demande_id,region,prefecture,commune,quartier,type_document,categorie_document,nombre_demandes,delai_traitement_jours,taux_rejet,date_demande,motif_demande,statut_demande,canal_demande,age_demandeur,sexe_demandeur
autres,kara,binah,pagouda,nyékonakpoé,acte de naissance,civil,167,2,0.01,2023-04-29,perte,en cours,guichet,63,m
autres,centrale,sotouboua,sotouboua,kodjoviakopé,carte d'identité,identité,38,7,0.1,2023-11-10,vol,traitee,guichet,57,m
autres,maritime,lacs,aného,tokoin,acte de naissance,civil,10,24,0.02,2023-09-12,erreur,en cours,guichet,51,f
autres,centrale,tchaoudjo,sokodé,amoutivé,passeport,voyage,24,4,0.1,2023-07-15,page pleine,traitee,guichet,77,f
autres,kara,binah,pagouda,bè,acte de naissance,civil,61,22,0.04,2023-03-08,reconstitution,traitee,en ligne,68,f
autres,plateaux,haho,notse,adidogomé,acte de naissance,civil,180,35,0.12,2023-04-28,detérioré,traitee,en ligne,58,m
autres,savanes,tone,dapaong,agoè,acte de naissance,civil,13,8,0.11,2023-04-07,perte,en cours,guichet,21,m
autres,kara,binah,pagouda,amoutivé,carte d'identité,identité,186,20,0.14,2023-05-15,expiration,traitee,en ligne,63,m
autres,plateaux,haho,notse,agoè,certificat de nationalité,identité,156,2,0.05,2023-10-03,concours,en cours,guichet,86,f
autres,savanes,tone,dapaong,agoè,casier judiciaire,judiciaire,187,29,0.1,2023-09-05,emploi,rejetée,en ligne,71,m
autres,savanes,tone,dapaong,adidogomé,acte de naissance,civil,139,39,0.07,2023-04-17,erreur,en cours,guichet,84,m
autres,centrale,tchaoudjo,sokodé,tokoin,certificat de nationalité,identité,164,11,0.03,2023-09-04,concours,rejetée,guichet,45,f
autres,plateaux,ogou,atakpamé,amoutivé,acte de naissance,civil,117,45,0.08,2023-07-04,erreur,rejetée,en ligne,21,f
autres,kara,kozah,kara,hôpital,passeport,voyage,87,18,0.01,2023-03-20,expiration,rejetée,guichet,87,f
autres,centrale,sotouboua,sotouboua,kwé,passeport,voyage,103,24,0.14,2023-10-23,expiration,en cours,guichet,88,m
autres,centrale,sotouboua,sotouboua,kwé,casier judiciaire,judiciaire,177,13,0.08,2023-06-04,voyage,rejetée,guichet,63,f
autres,plateaux,kloto,kpalime,adidogomé,passeport,voyage,134,38,0.14,2023-10-21,page pleine,rejetée,guichet,43,m
autres,plateaux,ogou,atakpamé,golfe,carte d'identité,identité,160,41,0.09,2023-05-12,perte,traitee,en ligne,20,m
autres,savanes,tone,dapaong,tokoin,passeport,voyage,193,2,0.05,2023-10-27,page pleine,rejetée,en ligne,81,m
autres,maritime,zio,tsévié,amoutivé,livre de famille,civil,58,19,0.12,2023-07-11,perte,rejetée,en ligne,40,m
autres,maritime,vo,vogan,amoutivé,livre de famille,civil,30,25,0.14,2023-12-22,détérioration,en cours,en ligne,54,f
autres,savanes,tone,dapaong,hedzranawoé,passeport,voyage,78,26,0.04,2023-03-12,page pleine,traitee,guichet,36,m
autres,plateaux,ogou,atakpamé,nyékonakpoé,acte de naissance,civil,57,11,0.06,2023-02-26,erreur,rejetée,en ligne,86,m
autres,savanes,oti,mango,bè,livre de famille,civil,131,26,0.06,2023-04-20,perte,rejetée,guichet,36,m
autres,maritime,lacs,aného,agoè,certificat de nationalité,identité,111,34,0.02,2023-12-30,première demande,traitee,en ligne,90,m
autres,maritime,vo,vogan,golfe,acte de naissance,civil,93,21,0.07,2023-02-19,erreur,rejetée,en ligne,38,m
autres,maritime,golfe,be,agoè,acte de naissance,civil,68,34,0.01,2023-08-20,detérioré,rejetée,guichet,56,m
autres,savanes,oti,mango,golfe,acte de naissance,civil,192,31,0.12,2023-04-07,erreur,traitee,en ligne,90,f
autres,centrale,tchaoudjo,sokodé,hôpital,acte de naissance,civil,56,31,0.15,2023-09-19,erreur,traitee,en ligne,85,f
autres,plateaux,ogou,atakpamé,bè,carte d'identité,identité,190,36,0.05,2023-10-20,première demande,rejetée,en ligne,53,f
autres,plateaux,kloto,kpalime,kwé,acte de naissance,civil,170,5,0.07,2023-03-11,perte,rejetée,guichet,70,m
autres,centrale,sotouboua,sotouboua,hôpital,certificat de nationalité,identité,22,21,0.01,2023-03-04,perte,traitee,en ligne,22,m
autres,maritime,lacs,aného,adidogomé,casier judiciaire,judiciaire,73,39,0.1,2023-01-30,emploi,rejetée,en ligne,38,f
autres,maritime,zio,tsévié,hôpital,acte de naissance,civil,118,11,0.08,2023-12-25,perte,traitee,en ligne,24,m
autres,plateaux,haho,notse,golfe,carte d'identité,identité,71,3,0.05,2023-03-28,vol,rejetée,en ligne,21,m
autres,savanes,oti,mango,golfe,acte de naissance,civil,42,42,0.04,2023-05-15,erreur,en cours,guichet,21,f
autres,maritime,lacs,aného,tokoin,casier judiciaire,judiciaire,14,41,0.01,2023-08-01,emploi,traitee,en ligne,69,m
autres,kara,binah,pagouda,hedzranawoé,acte de naissance,civil,85,19,0.09,2023-06-18,detérioré,traitee,guichet,52,f
autres,plateaux,haho,notse,amoutivé,acte de naissance,civil,59,23,0.13,2023-04-17,erreur,en cours,en ligne,36,m
autres,plateaux,ogou,atakpamé,kodjoviakopé,carte d'identité,identité,87,29,0.02,2023-06-22,détérioration,en cours,guichet,24,m
autres,maritime,zio,tsévié,agoè,certificat de nationalité,identité,185,32,0.1,2023-05-18,perte,rejetée,guichet,81,f
autres,kara,kozah,kara,hedzranawoé,carte d'identité,identité,181,25,0.08,2023-04-26,perte,traitee,en ligne,37,f
autres,kara,binah,pagouda,tokoin,certificat de nationalité,identité,114,42,0.01,2023-12-10,première demande,en cours,guichet,18,f
autres,kara,binah,pagouda,bè,carte d'identité,identité,100,32,0.07,2023-05-20,première demande,en cours,guichet,39,f
autres,savanes,tone,dapaong,hedzranawoé,certificat de nationalité,identité,191,44,0.15,2023-05-16,première demande,rejetée,guichet,40,f
autres,maritime,vo,vogan,golfe,acte de naissance,civil,129,7,0.05,2023-07-21,perte,traitee,guichet,51,f
autres,maritime,zio,tsévié,hedzranawoé,passeport,voyage,146,7,0.13,2023-11-19,expiration,traitee,guichet,65,m
autres,maritime,lacs,aného,adidogomé,passeport,voyage,194,30,0.03,2023-07-29,page pleine,traitee,en ligne,62,f
autres,maritime,zio,tsévié,agoè,carte d'identité,identité,104,29,0.07,2023-11-27,détérioration,rejetée,guichet,73,m
autres,plateaux,kloto,kpalime,kodjoviakopé,certificat de nationalité,identité,51,4,0.12,2023-03-26,perte,traitee,guichet,67,f
autres,maritime,lacs,aného,golfe,passeport,voyage,163,36,0.01,2023-07-04,perte,rejetée,guichet,88,m
autres,savanes,tone,dapaong,kwé,livre de famille,civil,113,17,0.13,2023-04-30,perte,en cours,en ligne,33,f
autres,centrale,tchaoudjo,sokodé,hedzranawoé,acte de naissance,civil,142,13,0.03,2023-01-19,perte,rejetée,guichet,50,m
autres,plateaux,haho,notse,hôpital,acte de naissance,civil,177,9,0.0,2023-07-27,perte,traitee,guichet,84,m
autres,savanes,oti,mango,hedzranawoé,passeport,voyage,18,25,0.13,2023-11-11,voyage,en cours,en ligne,69,m
autres,kara,binah,pagouda,agoè,livre de famille,civil,125,19,0.07,2023-06-04,perte,rejetée,en ligne,67,m
autres,plateaux,kloto,kpalime,amoutivé,casier judiciaire,judiciaire,145,37,0.15,2023-03-29,concours,traitee,guichet,49,f
autres,kara,binah,pagouda,adidogomé,certificat de nationalité,identité,55,34,0.0,2023-05-18,première demande,rejetée,en ligne,60,m
autres,maritime,zio,tsévié,kwé,carte d'identité,identité,43,29,0.04,2023-04-07,vol,en cours,en ligne,66,m
autres,centrale,tchaoudjo,sokodé,hedzranawoé,casier judiciaire,judiciaire,136,19,0.03,2023-06-29,emploi,en cours,en ligne,63,m
autres,maritime,vo,vogan,kwé,certificat de nationalité,identité,178,24,0.14,2023-03-02,première demande,rejetée,en ligne,19,m
autres,savanes,oti,mango,agoè,casier judiciaire,judiciaire,179,25,0.01,2023-09-26,emploi,en cours,guichet,30,m
autres,maritime,lacs,aného,hôpital,certificat de nationalité,identité,29,22,0.14,2023-06-17,première demande,traitee,guichet,90,m
autres,kara,binah,pagouda,kodjoviakopé,livre de famille,civil,38,13,0.05,2023-08-10,perte,rejetée,guichet,81,m
autres,plateaux,haho,notse,kodjoviakopé,passeport,voyage,22,26,0.07,2023-12-11,page pleine,en cours,guichet,79,f
autres,maritime,vo,vogan,golfe,livre de famille,civil,69,32,0.09,2023-10-13,détérioration,rejetée,guichet,72,m
autres,maritime,lacs,aného,golfe,carte d'identité,identité,119,44,0.11,2023-11-26,première demande,traitee,guichet,61,f
autres,savanes,oti,mango,nyékonakpoé,acte de naissance,civil,149,4,0.1,2023-07-20,erreur,en cours,guichet,72,f
autres,plateaux,kloto,kpalime,amoutivé,acte de naissance,civil,33,3,0.12,2023-11-14,perte,en cours,en ligne,61,f
autres,plateaux,haho,notse,amoutivé,livre de famille,civil,171,26,0.05,2023-01-01,détérioration,traitee,en ligne,88,m
autres,maritime,zio,tsévié,hôpital,certificat de nationalité,identité,145,37,0.08,2023-05-21,concours,en cours,guichet,86,m
autres,savanes,tone,dapaong,tokoin,certificat de nationalité,identité,21,26,0.06,2023-12-10,perte,rejetée,guichet,31,m
autres,kara,kozah,kara,tokoin,carte d'identité,identité,143,13,0.11,2023-03-28,vol,en cours,en ligne,30,f
autres,plateaux,ogou,atakpamé,golfe,certificat de nationalité,identité,79,44,0.11,2023-09-20,concours,traitee,en ligne,38,f
autres,kara,kozah,kara,hôpital,livre de famille,civil,195,37,0.1,2023-09-12,détérioration,rejetée,en ligne,64,m
autres,savanes,oti,mango,amoutivé,livre de famille,civil,110,4,0.01,2023-05-30,détérioration,rejetée,guichet,70,f
autres,kara,kozah,kara,hôpital,acte de naissance,civil,81,27,0.05,2023-01-30,erreur,traitee,guichet,53,m
autres,centrale,sotouboua,sotouboua,kwé,acte de naissance,civil,165,11,0.09,2023-06-17,perte,rejetée,guichet,30,f
autres,centrale,sotouboua,sotouboua,kwé,certificat de nationalité,identité,63,4,0.09,2023-10-10,concours,traitee,guichet,54,m
autres,centrale,sotouboua,sotouboua,amoutivé,casier judiciaire,judiciaire,150,3,0.1,2023-05-30,emploi,en cours,en ligne,67,m
autres,kara,kozah,kara,hôpital,carte d'identité,identité,30,17,0.12,2023-10-28,première demande,en cours,guichet,68,f
autres,plateaux,kloto,kpalime,agoè,acte de naissance,civil,196,33,0.1,2023-11-20,erreur,rejetée,guichet,36,m
autres,kara,kozah,kara,tokoin,certificat de nationalité,identité,105,30,0.02,2023-04-09,perte,rejetée,guichet,69,f
autres,plateaux,ogou,atakpamé,hôpital,certificat de nationalité,identité,101,32,0.11,2023-07-29,perte,en cours,guichet,59,m
autres,maritime,golfe,lomé,bè,acte de naissance,civil,61,8,0.11,2023-10-04,reconstitution,rejetée,en ligne,39,m
autres,centrale,sotouboua,sotouboua,bè,acte de naissance,civil,18,22,0.11,2023-08-27,perte,en cours,guichet,21,f
autres,centrale,sotouboua,sotouboua,hedzranawoé,acte de naissance,civil,43,22,0.04,2023-02-07,perte,rejetée,guichet,55,f
autres,maritime,vo,vogan,nyékonakpoé,carte d'identité,identité,177,8,0.05,2023-10-15,première demande,rejetée,en ligne,47,f
autres,kara,kozah,kara,bè,casier judiciaire,judiciaire,18,40,0.11,2023-07-19,emploi,en cours,en ligne,26,m
autres,centrale,tchaoudjo,sokodé,adidogomé,acte de naissance,civil,44,41,0.0,2023-03-24,detérioré,traitee,guichet,65,m
autres,savanes,oti,mango,tokoin,carte d'identité,identité,153,29,0.04,2023-11-07,détérioration,traitee,en ligne,79,f
autres,plateaux,haho,notse,amoutivé,carte d'identité,identité,179,12,0.13,2023-02-03,vol,traitee,en ligne,35,m
autres,kara,kozah,kara,tokoin,passeport,voyage,174,26,0.03,2023-11-22,perte,traitee,guichet,90,m
autres,savanes,tone,dapaong,bè,passeport,voyage,118,31,0.03,2023-07-04,perte,en cours,guichet,58,m
autres,centrale,tchaoudjo,sokodé,bè,passeport,voyage,14,42,0.14,2023-10-31,expiration,en cours,guichet,24,m
autres,centrale,tchaoudjo,sokodé,agoè,certificat de nationalité,identité,23,39,0.05,2023-06-22,perte,en cours,guichet,72,m
autres,centrale,tchaoudjo,sokodé,golfe,casier judiciaire,judiciaire,104,16,0.02,2023-09-04,concours,rejetée,guichet,78,m
autres,plateaux,kloto,kpalime,golfe,casier judiciaire,judiciaire,43,37,0.02,2023-08-15,voyage,en cours,en ligne,37,m
autres,maritime,lacs,aného,tokoin,acte de naissance,civil,66,6,0.09,2023-06-01,perte,rejetée,en ligne,53,f
autres,savanes,tone,dapaong,kwé,casier judiciaire,judiciaire,111,34,0.07,2023-07-06,concours,rejetée,guichet,59,f
autres,kara,kozah,kara,kwé,passeport,voyage,69,8,0.06,2023-03-11,voyage,en cours,guichet,32,m
autres,centrale,sotouboua,sotouboua,hôpital,livre de famille,civil,18,23,0.01,2023-10-04,nouveau mariage,traitee,guichet,81,m
autres,kara,kozah,kara,agoè,passeport,voyage,109,14,0.01,2023-08-29,perte,rejetée,en ligne,19,m
autres,centrale,tchaoudjo,sokodé,amoutivé,casier judiciaire,judiciaire,167,42,0.05,2023-06-17,concours,en cours,en ligne,43,f
autres,savanes,oti,mango,kodjoviakopé,certificat de nationalité,identité,195,29,0.03,2023-06-03,perte,rejetée,en ligne,57,m
autres,kara,kozah,kara,nyékonakpoé,certificat de nationalité,identité,129,8,0.0,2023-03-03,première demande,en cours,guichet,28,m
autres,plateaux,kloto,kpalime,golfe,acte de naissance,civil,199,22,0.0,2023-08-07,detérioré,rejetée,en ligne,72,f
autres,plateaux,kloto,kpalime,golfe,certificat de nationalité,identité,197,11,0.07,2023-07-14,perte,traitee,en ligne,44,m
autres,kara,kozah,kara,kwé,certificat de nationalité,identité,106,19,0.06,2023-11-18,première demande,traitee,guichet,66,m
autres,plateaux,kloto,kpalime,golfe,passeport,voyage,62,22,0.11,2023-04-20,perte,traitee,en ligne,48,m
autres,maritime,vo,vogan,adidogomé,livre de famille,civil,180,19,0.01,2023-09-01,perte,rejetée,en ligne,26,m
autres,maritime,vo,vogan,hedzranawoé,certificat de nationalité,identité,165,33,0.02,2023-02-25,perte,en cours,en ligne,25,m
autres,maritime,golfe,adidogome,adidogomé,livre de famille,civil,51,5,0.08,2023-10-07,perte,en cours,en ligne,24,f
autres,centrale,sotouboua,sotouboua,adidogomé,carte d'identité,identité,155,27,0.06,2023-07-07,première demande,rejetée,en ligne,84,f
autres,centrale,tchaoudjo,sokodé,adidogomé,certificat de nationalité,identité,116,1,0.13,2023-08-24,perte,traitee,en ligne,23,f
autres,maritime,golfe,adidogome,tokoin,acte de naissance,civil,30,21,0.13,2023-04-26,reconstitution,rejetée,guichet,19,m
autres,kara,kozah,kara,amoutivé,livre de famille,civil,94,10,0.02,2023-03-01,perte,traitee,guichet,80,f
autres,plateaux,kloto,kpalime,agoè,passeport,voyage,113,10,0.04,2023-05-08,page pleine,traitee,en ligne,83,f
autres,kara,kozah,kara,hôpital,certificat de nationalité,identité,128,1,0.0,2023-03-05,perte,rejetée,en ligne,22,m
autres,maritime,vo,vogan,kodjoviakopé,carte d'identité,identité,189,3,0.03,2023-07-20,vol,traitee,en ligne,55,f
autres,savanes,oti,mango,amoutivé,certificat de nationalité,identité,171,20,0.13,2023-12-13,perte,en cours,guichet,50,m
autres,savanes,tone,dapaong,tokoin,carte d'identité,identité,150,12,0.06,2023-03-18,détérioration,traitee,guichet,56,f
autres,plateaux,haho,notse,hôpital,livre de famille,civil,91,35,0.1,2023-08-03,détérioration,en cours,guichet,60,m
autres,savanes,tone,dapaong,kodjoviakopé,passeport,voyage,183,10,0.09,2023-04-09,page pleine,traitee,guichet,69,f
autres,plateaux,haho,notse,adidogomé,certificat de nationalité,identité,50,21,0.12,2023-09-28,première demande,en cours,guichet,36,f
autres,plateaux,haho,notse,hôpital,acte de naissance,civil,24,15,0.09,2023-01-24,erreur,traitee,guichet,36,f
autres,maritime,golfe,lomé,adidogomé,carte d'identité,identité,177,32,0.06,2023-02-01,vol,en cours,en ligne,40,f
autres,savanes,tone,dapaong,adidogomé,passeport,voyage,68,14,0.15,2023-01-30,expiration,en cours,en ligne,90,f
autres,maritime,golfe,adidogome,hedzranawoé,passeport,voyage,190,34,0.03,2023-02-07,expiration,en cours,en ligne,49,m
autres,savanes,tone,dapaong,hôpital,livre de famille,civil,98,33,0.08,2023-07-31,détérioration,traitee,guichet,70,m
autres,savanes,oti,mango,agoè,livre de famille,civil,199,37,0.14,2023-01-10,détérioration,en cours,en ligne,88,m
autres,plateaux,haho,notse,hôpital,acte de naissance,civil,100,31,0.11,2023-01-05,reconstitution,en cours,guichet,26,f
autres,plateaux,ogou,atakpamé,kwé,certificat de nationalité,identité,156,31,0.09,2023-05-02,première demande,rejetée,en ligne,27,m
autres,kara,binah,pagouda,hôpital,livre de famille,civil,121,43,0.13,2023-07-19,détérioration,traitee,guichet,71,f
autres,centrale,sotouboua,sotouboua,agoè,carte d'identité,identité,128,40,0.05,2023-07-18,expiration,rejetée,guichet,38,m
autres,centrale,tchaoudjo,sokodé,hôpital,certificat de nationalité,identité,56,21,0.11,2023-01-25,concours,en cours,guichet,24,m
autres,centrale,sotouboua,sotouboua,nyékonakpoé,certificat de nationalité,identité,128,15,0.01,2023-06-07,première demande,traitee,guichet,43,f
autres,kara,kozah,kara,hôpital,acte de naissance,civil,142,19,0.01,2023-06-08,detérioré,rejetée,guichet,66,m
autres,kara,kozah,kara,amoutivé,casier judiciaire,judiciaire,91,35,0.03,2023-12-30,voyage,en cours,en ligne,61,f
autres,savanes,oti,mango,bè,passeport,voyage,23,22,0.11,2023-04-09,expiration,en cours,en ligne,28,m
autres,savanes,oti,mango,nyékonakpoé,certificat de nationalité,identité,65,8,0.01,2023-04-01,concours,rejetée,en ligne,39,m
autres,plateaux,kloto,kpalime,amoutivé,certificat de nationalité,identité,153,44,0.02,2023-05-29,perte,traitee,guichet,53,m
autres,kara,kozah,kara,bè,acte de naissance,civil,33,21,0.13,2023-11-06,erreur,en cours,guichet,23,f
autres,plateaux,ogou,atakpamé,kwé,certificat de nationalité,identité,126,15,0.08,2023-07-21,première demande,traitee,en ligne,24,f
autres,plateaux,ogou,atakpamé,bè,acte de naissance,civil,155,39,0.04,2023-02-16,reconstitution,rejetée,en ligne,80,f
autres,savanes,oti,mango,kwé,certificat de nationalité,identité,135,45,0.14,2023-12-31,première demande,rejetée,guichet,20,f
autres,centrale,tchaoudjo,sokodé,agoè,passeport,voyage,40,41,0.08,2023-06-14,page pleine,traitee,guichet,72,f
autres,maritime,lacs,aného,hedzranawoé,casier judiciaire,judiciaire,44,40,0.13,2023-07-04,voyage,rejetée,guichet,77,f
autres,centrale,sotouboua,sotouboua,adidogomé,passeport,voyage,15,31,0.08,2023-05-16,perte,rejetée,en ligne,70,m
autres,savanes,tone,dapaong,agoè,livre de famille,civil,183,43,0.02,2023-09-24,perte,rejetée,guichet,79,f
autres,kara,binah,pagouda,kwé,carte d'identité,identité,33,10,0.1,2023-09-30,perte,en cours,guichet,49,f
autres,maritime,vo,vogan,golfe,certificat de nationalité,identité,102,19,0.04,2023-01-03,première demande,traitee,en ligne,45,f
autres,centrale,tchaoudjo,sokodé,tokoin,livre de famille,civil,186,8,0.04,2023-08-17,détérioration,traitee,guichet,29,f
autres,kara,kozah,kara,tokoin,passeport,voyage,24,8,0.1,2023-12-29,perte,rejetée,guichet,25,f
autres,kara,binah,pagouda,bè,certificat de nationalité,identité,144,3,0.13,2023-10-10,première demande,rejetée,en ligne,67,f
autres,savanes,oti,mango,hedzranawoé,passeport,voyage,83,14,0.05,2023-09-09,expiration,rejetée,en ligne,88,f
autres,plateaux,kloto,kpalime,kwé,casier judiciaire,judiciaire,37,16,0.03,2023-05-22,voyage,en cours,guichet,63,m
autres,savanes,oti,mango,tokoin,acte de naissance,civil,39,9,0.11,2023-06-19,erreur,traitee,guichet,34,m
autres,maritime,golfe,be,agoè,livre de famille,civil,191,2,0.08,2023-12-11,détérioration,en cours,guichet,62,m
autres,maritime,lacs,aného,golfe,passeport,voyage,105,21,0.0,2023-10-22,perte,rejetée,guichet,71,f
autres,maritime,zio,tsévié,agoè,acte de naissance,civil,48,26,0.15,2023-10-13,erreur,traitee,guichet,20,m
autres,kara,binah,pagouda,hôpital,certificat de nationalité,identité,31,36,0.03,2023-10-12,première demande,traitee,en ligne,46,m
autres,kara,binah,pagouda,nyékonakpoé,carte d'identité,identité,52,10,0.02,2023-06-03,vol,en cours,en ligne,74,m
autres,plateaux,ogou,atakpamé,bè,livre de famille,civil,150,17,0.06,2023-12-21,détérioration,rejetée,en ligne,58,f
autres,kara,kozah,kara,hedzranawoé,livre de famille,civil,32,17,0.0,2023-09-09,perte,en cours,en ligne,51,m
autres,savanes,tone,dapaong,kwé,passeport,voyage,180,23,0.0,2023-04-14,voyage,rejetée,en ligne,53,m
autres,savanes,oti,mango,kodjoviakopé,acte de naissance,civil,22,14,0.09,2023-07-11,perte,en cours,guichet,35,f
autres,kara,binah,pagouda,nyékonakpoé,carte d'identité,identité,113,21,0.06,2023-05-07,vol,rejetée,en ligne,65,m
autres,centrale,tchaoudjo,sokodé,tokoin,acte de naissance,civil,200,7,0.14,2023-08-03,perte,rejetée,guichet,81,m
autres,savanes,oti,mango,hôpital,passeport,voyage,124,35,0.09,2023-10-07,perte,traitee,guichet,40,m
autres,maritime,vo,vogan,bè,passeport,voyage,55,16,0.13,2023-05-07,voyage,en cours,en ligne,27,m
autres,plateaux,kloto,kpalime,bè,passeport,voyage,183,3,0.04,2023-05-07,page pleine,en cours,en ligne,85,f
autres,centrale,tchaoudjo,sokodé,tokoin,acte de naissance,civil,26,42,0.1,2023-07-01,detérioré,traitee,guichet,90,f
autres,centrale,sotouboua,sotouboua,amoutivé,livre de famille,civil,27,15,0.06,2023-09-22,perte,en cours,en ligne,51,m
autres,maritime,vo,vogan,kodjoviakopé,certificat de nationalité,identité,10,17,0.13,2023-01-04,perte,en cours,en ligne,47,m
autres,centrale,sotouboua,sotouboua,nyékonakpoé,carte d'identité,identité,31,29,0.12,2023-09-11,première demande,rejetée,en ligne,21,f
autres,kara,binah,pagouda,hedzranawoé,certificat de nationalité,identité,161,42,0.12,2023-05-16,concours,rejetée,en ligne,47,m
autres,centrale,sotouboua,sotouboua,kwé,passeport,voyage,200,35,0.09,2023-02-22,page pleine,rejetée,en ligne,51,m
autres,centrale,tchaoudjo,sokodé,kodjoviakopé,passeport,voyage,158,25,0.08,2023-04-05,perte,rejetée,guichet,56,f
autres,kara,binah,pagouda,nyékonakpoé,acte de naissance,civil,195,13,0.12,2023-05-04,erreur,en cours,guichet,74,f
autres,plateaux,ogou,atakpamé,nyékonakpoé,certificat de nationalité,identité,193,25,0.14,2023-08-25,perte,traitee,guichet,74,f
autres,maritime,zio,tsévié,bè,acte de naissance,civil,98,9,0.05,2023-11-09,reconstitution,rejetée,en ligne,39,f
autres,maritime,golfe,be,bè,acte de naissance,civil,35,30,0.13,2023-08-19,erreur,en cours,guichet,58,m
autres,savanes,tone,dapaong,kwé,passeport,voyage,152,33,0.15,2023-10-29,expiration,rejetée,guichet,47,m
autres,savanes,tone,dapaong,golfe,casier judiciaire,judiciaire,59,26,0.11,2023-06-11,voyage,en cours,guichet,44,m
autres,kara,kozah,kara,nyékonakpoé,acte de naissance,civil,101,1,0.05,2023-08-15,erreur,rejetée,en ligne,79,f
autres,savanes,tone,dapaong,golfe,certificat de nationalité,identité,117,10,0.05,2023-06-16,perte,traitee,guichet,83,m
autres,plateaux,kloto,kpalime,hedzranawoé,casier judiciaire,judiciaire,172,26,0.1,2023-12-09,concours,rejetée,en ligne,58,m
autres,savanes,oti,mango,tokoin,acte de naissance,civil,29,18,0.05,2023-02-14,reconstitution,traitee,guichet,56,m
autres,maritime,golfe,lomé,bè,acte de naissance,civil,93,8,0.12,2023-03-02,detérioré,en cours,en ligne,31,m
autres,centrale,tchaoudjo,sokodé,kodjoviakopé,certificat de nationalité,identité,160,30,0.1,2023-01-27,première demande,rejetée,guichet,69,f
autres,centrale,tchaoudjo,sokodé,adidogomé,passeport,voyage,127,29,0.13,2023-10-17,page pleine,rejetée,en ligne,18,f
autres,kara,kozah,kara,kwé,livre de famille,civil,79,39,0.07,2023-09-07,perte,rejetée,guichet,27,m
autres,maritime,golfe,lomé,kodjoviakopé,livre de famille,civil,159,29,0.05,2023-05-23,perte,rejetée,en ligne,51,f
autres,kara,kozah,kara,golfe,passeport,voyage,23,24,0.13,2023-05-04,perte,rejetée,guichet,39,f
autres,maritime,lacs,aného,nyékonakpoé,casier judiciaire,judiciaire,28,13,0.11,2023-07-22,concours,en cours,en ligne,74,f
autres,plateaux,kloto,kpalime,hôpital,acte de naissance,civil,77,29,0.07,2023-07-16,detérioré,en cours,en ligne,72,m
autres,centrale,tchaoudjo,sokodé,tokoin,carte d'identité,identité,187,14,0.12,2023-03-06,détérioration,rejetée,en ligne,49,f
autres,plateaux,kloto,kpalime,bè,carte d'identité,identité,170,19,0.01,2023-02-28,perte,traitee,guichet,51,m
autres,kara,binah,pagouda,adidogomé,certificat de nationalité,identité,158,17,0.04,2023-11-06,concours,en cours,en ligne,71,f
autres,centrale,tchaoudjo,sokodé,golfe,casier judiciaire,judiciaire,165,39,0.05,2023-08-21,voyage,en cours,en ligne,81,f
autres,kara,kozah,kara,nyékonakpoé,livre de famille,civil,30,25,0.05,2023-11-01,perte,en cours,guichet,70,m
